       param  mean se_mean   sd 2.5%  25%  50%  75% 97.5% n_eff Rhat
var_ratio[25] 3.67    0.00 0.12 3.44 3.60 3.67 3.75  3.92  1000 1.00
var_ratio[26] 3.58    0.00 0.12 3.36 3.50 3.57 3.65  3.83  1000 1.00
var_ratio[27] 4.06    0.00 0.14 3.80 3.97 4.06 4.16  4.33  1000 1.00
var_ratio[28] 4.69    0.00 0.15 4.40 4.57 4.70 4.79  4.98  1000 1.00
var_ratio[29] 4.57    0.00 0.14 4.30 4.48 4.57 4.67  4.88  1000 1.00
var_ratio[30] 2.80    0.00 0.10 2.62 2.73 2.79 2.87  3.00  1000 1.00
var_ratio[31] 3.78    0.00 0.13 3.54 3.70 3.79 3.87  4.05  1000 1.00
var_ratio[32] 4.38    0.00 0.14 4.12 4.29 4.38 4.48  4.68  1000 1.00
var_ratio[33] 3.55    0.00 0.12 3.33 3.47 3.55 3.63  3.79  1000 1.00
var_ratio[34] 2.99    0.00 0.10 2.79 2.91 2.99 3.05  3.20  1000 1.00
var_ratio[35] 2.98    0.00 0.10 2.79 2.91 2.97 3.05  3.18  1000 1.00
var_ratio[36] 3.77    0.00 0.13 3.52 3.68 3.76 3.85  4.02  1000 1.00
var_ratio[37] 4.32    0.00 0.13 4.06 4.24 4.32 4.40  4.58  1000 1.00
var_ratio[38] 3.01    0.00 0.09 2.82 2.95 3.01 3.07  3.19  1000 1.00
var_ratio[39] 3.92    0.00 0.12 3.71 3.83 3.92 4.00  4.17  1000 1.00
var_ratio[40] 3.88    0.00 0.13 3.63 3.80 3.88 3.97  4.13  1000 1.00
var_ratio[41] 3.70    0.00 0.12 3.45 3.62 3.70 3.79  3.93  1000 1.00
var_ratio[42] 3.67    0.00 0.12 3.45 3.59 3.66 3.74  3.91  1000 1.00
var_ratio[43] 3.58    0.00 0.11 3.37 3.50 3.58 3.66  3.81  1000 1.00
var_ratio[44] 4.11    0.00 0.13 3.86 4.02 4.11 4.20  4.37  1000 1.00
var_ratio[45] 4.28    0.00 0.14 4.01 4.18 4.28 4.37  4.57  1000 1.00
var_ratio[46] 3.06    0.00 0.10 2.88 2.99 3.06 3.13  3.28  1000 1.00
var_ratio[47] 3.89    0.00 0.12 3.65 3.81 3.89 3.97  4.13  1000 1.00
var_ratio[48] 3.64    0.00 0.13 3.40 3.54 3.64 3.72  3.89  1000 1.00
var_ratio[49] 3.41    0.00 0.12 3.19 3.33 3.41 3.49  3.63  1000 1.00
var_ratio[50] 2.49    0.00 0.08 2.33 2.43 2.48 2.54  2.65  1000 1.00
var_ratio[51] 3.11    0.00 0.10 2.92 3.04 3.10 3.17  3.30  1000 1.00
var_ratio[52] 4.13    0.00 0.13 3.88 4.04 4.12 4.21  4.40  1000 1.00
var_ratio[53] 3.08    0.00 0.10 2.87 3.01 3.07 3.14  3.28  1000 1.00
var_ratio[54] 4.42    0.00 0.14 4.16 4.32 4.41 4.51  4.71  1000 1.00
var_ratio[55] 3.46    0.00 0.12 3.25 3.38 3.46 3.54  3.70  1000 1.00
var_ratio[56] 4.02    0.00 0.12 3.79 3.94 4.02 4.10  4.29  1000 1.00
var_ratio[57] 3.80    0.00 0.12 3.58 3.72 3.80 3.88  4.06  1000 1.00
var_ratio[58] 3.50    0.00 0.12 3.28 3.41 3.50 3.58  3.73  1000 1.00
var_ratio[59] 4.38    0.00 0.14 4.11 4.29 4.38 4.48  4.66  1000 1.00
var_ratio[60] 3.97    0.00 0.13 3.72 3.88 3.97 4.07  4.23  1000 1.00
var_ratio[61] 2.22    0.00 0.08 2.08 2.17 2.22 2.27  2.37  1000 1.00
