"","param","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","method","software"
"81","sigma[19]",0.38,0,0.01,0.37,0.37,0.38,0.38,0.39,1000,1,"cross","ANTs"
"82","sigma[20]",0.35,0,0.01,0.34,0.34,0.35,0.35,0.36,1000,1,"cross","ANTs"
"83","sigma[21]",0.27,0,0,0.27,0.27,0.27,0.28,0.28,1000,1,"cross","ANTs"
"84","sigma[22]",0.36,0,0.01,0.35,0.35,0.36,0.36,0.37,1000,1,"cross","ANTs"
"85","sigma[23]",0.26,0,0,0.25,0.26,0.26,0.27,0.27,1000,1,"cross","ANTs"
"86","sigma[24]",0.31,0,0.01,0.3,0.31,0.31,0.32,0.32,1000,1,"cross","ANTs"
"87","sigma[25]",0.35,0,0.01,0.34,0.35,0.35,0.36,0.36,1000,1,"cross","ANTs"
"88","sigma[26]",0.37,0,0.01,0.36,0.37,0.37,0.38,0.38,1000,1,"cross","ANTs"
"89","sigma[27]",0.33,0,0.01,0.32,0.33,0.33,0.34,0.34,582,1,"cross","ANTs"
"90","sigma[28]",0.29,0,0.01,0.28,0.29,0.29,0.3,0.3,636,1,"cross","ANTs"
"91","sigma[29]",0.33,0,0.01,0.32,0.33,0.33,0.33,0.34,1000,1,"cross","ANTs"
"92","sigma[30]",0.41,0,0.01,0.39,0.4,0.41,0.41,0.42,1000,1,"cross","ANTs"
"93","sigma[31]",0.27,0,0,0.27,0.27,0.27,0.28,0.28,663,1,"cross","ANTs"
"94","sigma[32]",0.28,0,0,0.27,0.27,0.28,0.28,0.28,1000,1,"cross","ANTs"
"95","sigma[33]",0.38,0,0.01,0.36,0.37,0.38,0.38,0.39,1000,1,"cross","ANTs"
"96","sigma[34]",0.37,0,0.01,0.36,0.37,0.37,0.37,0.38,1000,1,"cross","ANTs"
"97","sigma[35]",0.31,0,0,0.3,0.3,0.31,0.31,0.32,1000,1,"cross","ANTs"
"98","sigma[36]",0.32,0,0.01,0.31,0.32,0.32,0.32,0.33,1000,1,"cross","ANTs"
"99","sigma[37]",0.32,0,0.01,0.31,0.32,0.32,0.33,0.33,1000,1,"cross","ANTs"
"100","sigma[38]",0.34,0,0.01,0.33,0.34,0.34,0.35,0.36,1000,1,"cross","ANTs"
"101","sigma[39]",0.28,0,0,0.27,0.28,0.28,0.28,0.29,1000,1,"cross","ANTs"
"102","sigma[40]",0.34,0,0.01,0.33,0.33,0.34,0.34,0.35,1000,1,"cross","ANTs"
"103","sigma[41]",0.31,0,0.01,0.3,0.31,0.31,0.32,0.32,1000,1,"cross","ANTs"
"104","sigma[42]",0.36,0,0.01,0.35,0.36,0.36,0.36,0.37,1000,1,"cross","ANTs"
"105","sigma[43]",0.32,0,0.01,0.31,0.31,0.32,0.32,0.33,1000,1,"cross","ANTs"
"106","sigma[44]",0.32,0,0.01,0.31,0.32,0.32,0.33,0.34,1000,1,"cross","ANTs"
"107","sigma[45]",0.28,0,0,0.27,0.28,0.28,0.28,0.29,1000,1,"cross","ANTs"
"108","sigma[46]",0.34,0,0.01,0.33,0.34,0.34,0.35,0.35,1000,1,"cross","ANTs"
"109","sigma[47]",0.35,0,0.01,0.34,0.34,0.35,0.35,0.36,1000,1,"cross","ANTs"
"110","sigma[48]",0.34,0,0.01,0.33,0.34,0.34,0.35,0.36,1000,1,"cross","ANTs"
"111","sigma[49]",0.33,0,0.01,0.32,0.33,0.33,0.33,0.34,1000,1,"cross","ANTs"
"112","sigma[50]",0.39,0,0.01,0.38,0.38,0.39,0.39,0.4,1000,1,"cross","ANTs"
"113","sigma[51]",0.35,0,0.01,0.34,0.35,0.35,0.36,0.36,782,1,"cross","ANTs"
"114","sigma[52]",0.28,0,0,0.27,0.27,0.28,0.28,0.29,1000,1,"cross","ANTs"
"115","sigma[53]",0.36,0,0.01,0.35,0.35,0.36,0.36,0.37,1000,1,"cross","ANTs"
"116","sigma[54]",0.28,0,0,0.27,0.28,0.28,0.28,0.29,1000,1,"cross","ANTs"
"117","sigma[55]",0.29,0,0,0.28,0.29,0.29,0.29,0.3,1000,1,"cross","ANTs"
"118","sigma[56]",0.33,0,0.01,0.32,0.33,0.33,0.33,0.34,1000,1,"cross","ANTs"
"119","sigma[57]",0.35,0,0.01,0.34,0.34,0.35,0.35,0.36,1000,1,"cross","ANTs"
"120","sigma[58]",0.34,0,0.01,0.33,0.33,0.34,0.34,0.35,1000,1,"cross","ANTs"
"121","sigma[59]",0.31,0,0,0.3,0.3,0.31,0.31,0.32,1000,1,"cross","ANTs"
"122","sigma[60]",0.35,0,0.01,0.34,0.34,0.35,0.35,0.36,643,1,"cross","ANTs"
"123","sigma[61]",0.42,0,0.01,0.41,0.41,0.42,0.42,0.43,1000,1,"cross","ANTs"
"124","sigma[62]",0.27,0,0,0.26,0.27,0.27,0.27,0.28,1000,1,"cross","ANTs"
"125","tau_0[1]",0.98,0,0.03,0.92,0.96,0.97,1,1.03,1000,1,"cross","ANTs"
"126","tau_0[2]",0.92,0,0.03,0.87,0.9,0.92,0.94,0.97,1000,1,"cross","ANTs"
"127","tau_0[3]",0.96,0,0.03,0.91,0.94,0.95,0.97,1.01,1000,1,"cross","ANTs"
"128","tau_0[4]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,1000,1,"cross","ANTs"
"129","tau_0[5]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.02,1000,1,"cross","ANTs"
"130","tau_0[6]",0.96,0,0.03,0.9,0.94,0.96,0.97,1.01,1000,1,"cross","ANTs"
"131","tau_0[7]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,1000,1,"cross","ANTs"
"132","tau_0[8]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.02,1000,1,"cross","ANTs"
"133","tau_0[9]",0.95,0,0.02,0.91,0.94,0.95,0.97,1,1000,1,"cross","ANTs"
"134","tau_0[10]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.02,1000,1,"cross","ANTs"
"135","tau_0[11]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.01,1000,1,"cross","ANTs"
"136","tau_0[12]",0.96,0,0.03,0.9,0.94,0.96,0.98,1.02,1000,1,"cross","ANTs"
"137","tau_0[13]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,1000,1,"cross","ANTs"
"138","tau_0[14]",0.98,0,0.03,0.93,0.96,0.98,0.99,1.03,1000,1,"cross","ANTs"
"139","tau_0[15]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,1000,1,"cross","ANTs"
"140","tau_0[16]",0.95,0,0.03,0.9,0.93,0.95,0.97,1,1000,1,"cross","ANTs"
"141","tau_0[17]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,1000,1,"cross","ANTs"
"142","tau_0[18]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,1000,1,"cross","ANTs"
"143","tau_0[19]",0.93,0,0.03,0.87,0.91,0.93,0.95,0.99,1000,1,"cross","ANTs"
"144","tau_0[20]",0.94,0,0.02,0.89,0.92,0.94,0.95,0.98,1000,1,"cross","ANTs"
"145","tau_0[21]",0.98,0,0.03,0.92,0.96,0.98,1,1.04,1000,1,"cross","ANTs"
"146","tau_0[22]",0.93,0,0.03,0.88,0.92,0.93,0.95,0.99,1000,1,"cross","ANTs"
"147","tau_0[23]",0.97,0,0.03,0.93,0.96,0.97,0.99,1.03,1000,1,"cross","ANTs"
"148","tau_0[24]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,1000,1,"cross","ANTs"
"149","tau_0[25]",0.94,0,0.03,0.89,0.93,0.94,0.96,1,1000,1,"cross","ANTs"
"150","tau_0[26]",0.93,0,0.03,0.88,0.91,0.93,0.95,0.99,1000,1,"cross","ANTs"
"151","tau_0[27]",0.95,0,0.03,0.9,0.93,0.95,0.97,1,1000,1,"cross","ANTs"
"152","tau_0[28]",0.96,0,0.03,0.91,0.95,0.96,0.98,1.02,1000,1,"cross","ANTs"
"153","tau_0[29]",0.95,0,0.03,0.9,0.93,0.95,0.97,1,1000,1,"cross","ANTs"
"154","tau_0[30]",0.92,0,0.03,0.86,0.9,0.92,0.94,0.97,1000,1,"cross","ANTs"
"155","tau_0[31]",0.98,0,0.03,0.93,0.96,0.98,1,1.03,1000,1,"cross","ANTs"
"156","tau_0[32]",0.98,0,0.03,0.94,0.97,0.98,1,1.04,1000,1,"cross","ANTs"
"157","tau_0[33]",0.92,0,0.03,0.87,0.9,0.92,0.94,0.97,1000,1,"cross","ANTs"
"158","tau_0[34]",0.94,0,0.03,0.89,0.92,0.94,0.96,1,1000,1,"cross","ANTs"
"159","tau_0[35]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,1000,1,"cross","ANTs"
"160","tau_0[36]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.01,1000,1,"cross","ANTs"
"161","tau_0[37]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,1000,1,"cross","ANTs"
