"DktRegion","Pipeline","AccuracyMean","AccuracyStd"
"riCC","ANTsCross",7.00700998564675,0.750952215436348
"rLOG","ANTsCross",6.64675508538599,0.753443839589881
"rLOF","ANTsCross",6.79261590519785,0.922110350571076
"rLING","ANTsCross",6.69294087627712,0.814217189164254
"rMOF","ANTsCross",6.71488110237382,0.75531976255844
"rMGH","ANTsCross",6.77843283353275,0.803242387192505
"rPARH","ANTsCross",7.08227526288607,0.895810380955986
"rparaC","ANTsCross",6.67608252723641,0.735947140902465
"rpOPER","ANTsCross",6.65172604963471,0.820495671394557
"rpORB","ANTsCross",6.6448921676626,0.731839385473941
"rpTRI","ANTsCross",6.57014125253535,0.784735510791325
"rperiCAL","ANTsCross",6.59231478419943,0.739635972912886
"rpostC","ANTsCross",6.47599577077924,0.738618254613078
"rPCC","ANTsCross",7.11032008483578,0.833381287833599
"rPreC","ANTsCross",6.29991109682209,0.662779262588575
"rPCUN","ANTsCross",6.86388484520886,0.88052079886238
"rrACC","ANTsCross",7.0682489191675,0.865694474350136
"rrMFG","ANTsCross",6.77972561348264,0.716054315469952
"rSFG","ANTsCross",6.72334039309402,0.883004990151323
"rSPL","ANTsCross",6.75551969669133,0.816773135016743
"rSTG","ANTsCross",6.36379475291406,0.684154529586138
"rSMAR","ANTsCross",6.6850458533706,0.831993649257329
"rTT","ANTsCross",6.56843696058688,0.857039611717565
"rINS","ANTsCross",6.91146871315845,0.70920348176302
"lcACC","ANTsNative",6.80121582289459,0.650266889837099
"lcMFG","ANTsNative",6.78216681875683,0.672697207251822
"lCUN","ANTsNative",6.80777167951796,0.663970744808297
"lENT","ANTsNative",6.76319035301918,0.660783083729398
"lFUS","ANTsNative",6.87789791063583,0.656811340663811
"lIPL","ANTsNative",6.83520232385755,0.620694050877358
"lITG","ANTsNative",6.73201783423747,0.647520886270273
"liCC","ANTsNative",6.97350538144399,0.70086985969463
"lLOG","ANTsNative",6.49068352894503,0.68594868477806
"lLOF","ANTsNative",6.84894029370044,0.655572127550257
"lLING","ANTsNative",6.77070014057322,0.689226724143856
"lMOF","ANTsNative",6.67612240684663,0.667793350102426
"lMGH","ANTsNative",6.64293750056788,0.649694430032961
"lPARH","ANTsNative",6.73905728261459,0.63118272075464
"lparaC","ANTsNative",6.88542117389584,0.656463163388803
"lpOPER","ANTsNative",6.41531649704816,0.668453651919947
"lpORB","ANTsNative",6.74432297185532,0.646887968533393
"lpTRI","ANTsNative",6.53485269407078,0.701848224606614
"lperiCAL","ANTsNative",6.64006997674063,0.687927092420932
"lpostC","ANTsNative",6.73779532944991,0.660627922417507
"lPCC","ANTsNative",6.8557270071787,0.681428133246354
"lPreC","ANTsNative",6.70602326965527,0.658831169317459
"lPCUN","ANTsNative",6.99658193309879,0.663054939317318
"lrACC","ANTsNative",6.87845300104954,0.678028190494949
"lrMFG","ANTsNative",6.86527961774735,0.635833544150098
"lSFG","ANTsNative",6.68090895478062,0.654428552292605
"lSPL","ANTsNative",6.99974568181887,0.617868458276078
"lSTG","ANTsNative",6.46799755827776,0.638880754519677
"lSMAR","ANTsNative",6.68397973969009,0.643106400414685
"lTT","ANTsNative",6.39773634384523,0.666135610247895
"lINS","ANTsNative",6.72111034148163,0.700836663471136
"rcACC","ANTsNative",6.87374166295591,0.671315940822977
"rcMFG","ANTsNative",6.76854764898716,0.632111050980571
"rCUN","ANTsNative",6.67197081311597,0.647516646329433
"rENT","ANTsNative",6.78322953298038,0.668229968116738
"rFUS","ANTsNative",6.89717111284982,0.652308331336112
"rIPL","ANTsNative",6.89176522029517,0.64371785506312
"rITG","ANTsNative",6.89207475403532,0.657531997054998
"riCC","ANTsNative",6.96486894530805,0.692098035050512
"rLOG","ANTsNative",6.57533950393841,0.720561489765648
"rLOF","ANTsNative",6.77673022112217,0.66065014092775
"rLING","ANTsNative",6.69766670529878,0.680512771335507
"rMOF","ANTsNative",6.65620417897028,0.698207686313701
"rMGH","ANTsNative",6.70616622271558,0.662002263194836
"rPARH","ANTsNative",6.83333565045599,0.635599248996261
"rparaC","ANTsNative",6.92032652087234,0.653152073623617
"rpOPER","ANTsNative",6.47991053381844,0.687848612627972
"rpORB","ANTsNative",6.68746932326917,0.655125669882608
"rpTRI","ANTsNative",6.46778501119569,0.625513713302074
"rperiCAL","ANTsNative",6.55141379128159,0.654788685672318
"rpostC","ANTsNative",6.74093757373467,0.636298048866907
"rPCC","ANTsNative",6.86637766071409,0.674988002875804
"rPreC","ANTsNative",6.58327664835761,0.664968666148294
"rPCUN","ANTsNative",6.94200478139656,0.693751093800715
"rrACC","ANTsNative",6.93697504998483,0.675707586772855
"rrMFG","ANTsNative",6.7430903686947,0.625045928301
"rSFG","ANTsNative",6.61413230441531,0.665636373919828
"rSPL","ANTsNative",6.95047586975358,0.621902082238595
"rSTG","ANTsNative",6.48368053694702,0.689194654055497
"rSMAR","ANTsNative",6.73057189659056,0.658051861436478
"rTT","ANTsNative",6.4811567737684,0.744619602395312
"rINS","ANTsNative",6.65909177806492,0.716306969030317
"lcACC","ANTsSST",6.82572923530858,0.644805255632571
"lcMFG","ANTsSST",6.84842365769784,0.687076016063225
"lCUN","ANTsSST",6.81323886569216,0.662038459565459
"lENT","ANTsSST",6.71756337282316,0.658819480478285
"lFUS","ANTsSST",6.85727918386097,0.658362757734049
"lIPL","ANTsSST",6.8370868749651,0.62551737824935
"lITG","ANTsSST",6.69906551660974,0.650074691952478
"liCC","ANTsSST",6.9741921082694,0.693342191884835
"lLOG","ANTsSST",6.51108463351964,0.677918442306697
"lLOF","ANTsSST",6.91180533500992,0.648381561508678
"lLING","ANTsSST",6.79299144110138,0.673846661332878
"lMOF","ANTsSST",6.68439297092763,0.65605857740196
