"DktRegion","Pipeline","sigma.0.","sigma.25.","sigma.50.","sigma.75.","sigma.100.","sigma.sd","tau.0.","tau.25.","tau.50.","tau.75.","tau.100.","tau.sd","variance.ratio.0.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.100.","variance.ratio.sd"
"lLING","newANTsSST",0.184367496456247,0.191909255645475,0.19400090127498,0.196248309742969,0.206109073181873,0.00314337089161053,0.91254768342179,0.994491261004827,1.01292915666551,1.03180213830689,1.11915328645259,0.0276909675829186,4.64790342153008,5.10933882059773,5.21670781849091,5.33433812425934,5.8255665271832,0.164807627684037
"lMOF","newANTsSST",0.2069720432314,0.216914738714403,0.219211957184265,0.221630836699007,0.234144923311768,0.00355598157195247,0.876231610996968,0.965852313020411,0.98444364641854,1.00283738895606,1.100162116207,0.0285040439577724,3.93842370909592,4.38879868277261,4.49035370036285,4.58978031519571,5.04649865781986,0.150512410172313
"lMGH","newANTsSST",0.18844619344889,0.19717474334403,0.199346799504784,0.20163242288727,0.211123032089004,0.00333014145536711,0.905412019748951,0.977638993059138,0.995247715670671,1.01386746460981,1.11388114058207,0.0268444696784528,4.45027249751929,4.88516330152553,4.99412215727952,5.10365628740952,5.59880038217798,0.161669584830504
"lPARH","newANTsSST",0.148300036936882,0.15534518597621,0.157060657532034,0.158879575479737,0.166945105837876,0.00260405967724777,0.928601208924617,0.989499703428182,1.00911528528071,1.02860298791736,1.11451230960568,0.0282197442860808,5.71864532486677,6.28719514341705,6.42088134975535,6.56597338195407,7.17627829341827,0.205692151444417
"lparaC","newANTsSST",0.129198957586358,0.13473151201416,0.136261766210947,0.137766053019288,0.144508040264668,0.00224810283902376,0.90522539920438,0.973336568297983,0.991919049025629,1.01127981917766,1.09467131781607,0.028502085709892,6.41009059480108,7.11668670288968,7.28182282102771,7.44508508510347,8.20963697922639,0.241713132476669
"lpOPER","newANTsSST",0.137113124101093,0.143766374244702,0.145394723068776,0.147019758155378,0.154423979665716,0.00244631054548292,0.908060610768481,0.973114736048373,0.991757567674719,1.01040748798114,1.09597213607231,0.0268407463754439,6.06257060587352,6.67265920520443,6.82201549358255,6.97474971389603,7.66262931936992,0.217107969127352
"lpORB","newANTsSST",0.205332581204135,0.21362907781677,0.215927735687143,0.218455357518606,0.229656256659279,0.00353714577728095,0.905943471705318,0.979928293333355,0.998148232345369,1.01864038245268,1.09979052280964,0.0284423699046536,4.12928464346083,4.52170530146749,4.62385457799148,4.72828662411429,5.1337039693479,0.151100912528212
"lpTRI","newANTsSST",0.168241265544442,0.177776378230621,0.179743901557293,0.18173303514455,0.189976261366532,0.00296110372638825,0.883316175222528,0.967666039586478,0.986574989245216,1.00530937770889,1.08886432831387,0.0279018316376737,4.7673906851176,5.36395686162468,5.48637517424871,5.61122294709263,6.30196798712246,0.182863779636653
"lperiCAL","newANTsSST",0.163218459832485,0.170835427484014,0.17291657257045,0.17479635496937,0.183267197087497,0.0029172502535245,0.895841080282848,0.974463745875309,0.993261346335386,1.01174344602414,1.09874389615265,0.0275694718122788,5.10979436644192,5.61944133622346,5.74599269559497,5.87608444742274,6.50155316434062,0.188897430952675
"lpostC","newANTsSST",0.21012549986053,0.221406701234292,0.223910487908167,0.226497769728602,0.239565803057484,0.00374463198361005,0.89874187291553,0.971314838812279,0.98929191404609,1.00873347744413,1.09751648772374,0.0274923858212968,3.95231308303209,4.3261971303062,4.41783908592305,4.51377882454681,4.98587665839018,0.143109975909517
