"","region_var","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","method"
"22","var_ratio[22]",3.22,0,0.11,3.01,3.15,3.22,3.3,3.44,1000,1.01,"cross"
"23","var_ratio[23]",4.55,0.01,0.15,4.27,4.45,4.55,4.65,4.84,945,1,"cross"
"24","var_ratio[24]",3.8,0,0.14,3.56,3.71,3.8,3.89,4.08,982,1,"cross"
"25","var_ratio[25]",3.12,0,0.11,2.9,3.05,3.12,3.19,3.32,776,1.01,"cross"
"26","var_ratio[26]",2.93,0,0.1,2.75,2.87,2.94,2.99,3.13,955,1,"cross"
"27","var_ratio[27]",3.31,0,0.12,3.09,3.23,3.3,3.39,3.54,925,1.01,"cross"
"28","var_ratio[28]",3.89,0,0.14,3.63,3.79,3.88,3.97,4.17,1000,1,"cross"
"29","var_ratio[29]",3.41,0,0.12,3.18,3.32,3.41,3.49,3.63,935,1,"cross"
"30","var_ratio[30]",2.48,0,0.09,2.31,2.42,2.48,2.54,2.66,978,1,"cross"
"31","var_ratio[31]",4.49,0,0.15,4.21,4.38,4.48,4.58,4.79,919,1,"cross"
"32","var_ratio[32]",4.39,0,0.15,4.11,4.28,4.38,4.48,4.69,996,1,"cross"
"33","var_ratio[33]",2.75,0,0.1,2.58,2.69,2.75,2.82,2.95,876,1.01,"cross"
"34","var_ratio[34]",3.2,0,0.11,2.98,3.12,3.2,3.28,3.42,993,1,"cross"
"35","var_ratio[35]",3.9,0,0.13,3.64,3.82,3.9,3.99,4.16,1000,1,"cross"
"36","var_ratio[36]",4.19,0,0.15,3.92,4.09,4.18,4.29,4.47,1000,1.01,"cross"
"37","var_ratio[37]",3.48,0,0.12,3.26,3.4,3.48,3.55,3.71,979,1,"cross"
"38","var_ratio[38]",3.46,0,0.12,3.23,3.38,3.46,3.53,3.7,967,1,"cross"
"39","var_ratio[39]",4.07,0,0.13,3.81,3.98,4.06,4.15,4.35,1000,1,"cross"
"40","var_ratio[40]",3.29,0,0.11,3.08,3.22,3.29,3.36,3.51,1000,1,"cross"
"41","var_ratio[41]",4.02,0,0.14,3.75,3.92,4.01,4.1,4.31,1000,1,"cross"
"42","var_ratio[42]",3.47,0,0.12,3.24,3.38,3.46,3.54,3.73,944,1,"cross"
"43","var_ratio[43]",3.49,0,0.12,3.27,3.41,3.49,3.57,3.73,1000,1,"cross"
"44","var_ratio[44]",3.55,0,0.13,3.31,3.46,3.55,3.64,3.8,1000,0.99,"cross"
"45","var_ratio[45]",5.21,0.01,0.18,4.87,5.1,5.21,5.33,5.56,1000,1,"cross"
"46","var_ratio[46]",3.52,0,0.12,3.28,3.44,3.51,3.59,3.78,1000,1,"cross"
"47","var_ratio[47]",3.27,0,0.11,3.07,3.19,3.27,3.35,3.5,1000,1,"cross"
"48","var_ratio[48]",3.38,0,0.12,3.15,3.31,3.38,3.46,3.61,1000,1,"cross"
"49","var_ratio[49]",3.37,0,0.12,3.14,3.29,3.37,3.45,3.62,1000,1,"cross"
"50","var_ratio[50]",2.78,0,0.1,2.6,2.72,2.78,2.85,2.97,895,1,"cross"
"51","var_ratio[51]",3.27,0,0.11,3.05,3.19,3.26,3.34,3.49,978,1,"cross"
"52","var_ratio[52]",4.5,0.01,0.16,4.21,4.39,4.5,4.6,4.82,1000,1,"cross"
"53","var_ratio[53]",3.2,0,0.11,2.99,3.13,3.2,3.27,3.4,906,1,"cross"
"54","var_ratio[54]",4.29,0,0.15,4.02,4.18,4.29,4.38,4.59,998,0.99,"cross"
"55","var_ratio[55]",3.82,0,0.14,3.56,3.73,3.82,3.91,4.09,1000,1,"cross"
"56","var_ratio[56]",3.33,0,0.11,3.12,3.25,3.32,3.41,3.56,1000,1,"cross"
"57","var_ratio[57]",3.15,0,0.11,2.94,3.08,3.15,3.23,3.36,884,1,"cross"
"58","var_ratio[58]",3.32,0,0.12,3.1,3.24,3.32,3.4,3.55,1000,1,"cross"
"59","var_ratio[59]",3.95,0,0.13,3.7,3.86,3.95,4.04,4.21,1000,1,"cross"
"60","var_ratio[60]",3.29,0,0.12,3.07,3.21,3.29,3.36,3.52,901,1.01,"cross"
"61","var_ratio[61]",2.38,0,0.09,2.21,2.32,2.38,2.44,2.55,973,1,"cross"
"62","var_ratio[62]",4.83,0.01,0.17,4.52,4.72,4.83,4.95,5.17,1000,1,"cross"
"63","sigma[1]",0.23,0,0,0.23,0.23,0.23,0.24,0.24,967,1,"cross"
"64","sigma[2]",0.35,0,0.01,0.34,0.35,0.35,0.35,0.36,962,1,"cross"
